ProductId,Mid,Spread
9128283H1,99-035,0-002
9128283H1,100-20+,0-003
9128283H1,99-016,0-002
9128283H1,100-206,0-00+
9128283H1,100-030,0-002
9128283H1,99-112,0-00+
9128283H1,100-000,0-003
9128283H1,99-006,0-002
9128283H1,99-093,0-002
9128283H1,100-107,0-00+
9128283H1,100-263,0-003
9128283H1,100-295,0-002
9128283H1,100-056,0-00+
9128283H1,100-105,0-003
9128283H1,99-016,0-002
9128283H1,99-106,0-002
9128283H1,99-223,0-00+
9128283H1,99-14+,0-00+
9128283H1,100-061,0-002
9128283H1,100-026,0-00+
9128283H1,99-031,0-002
9128283H1,100-055,0-002
9128283H1,99-316,0-00+
9128283H1,100-103,0-002
9128283H1,99-000,0-003
9128283H1,100-202,0-00+
9128283H1,99-270,0-00+
9128283H1,100-091,0-002
9128283H1,99-042,0-002
9128283H1,99-167,0-00+
9128283H1,99-037,0-002
9128283H1,100-27+,0-002
9128283H1,99-21+,0-002
9128283H1,100-030,0-003
9128283H1,100-26+,0-00+
9128283H1,99-210,0-00+
9128283H1,99-316,0-00+
9128283H1,100-006,0-00+
9128283H1,99-225,0-003
9128283H1,100-305,0-003
9128283H1,99-065,0-003
9128283H1,100-263,0-002
9128283H1,100-075,0-003
9128283H1,99-21+,0-002
9128283H1,99-316,0-00+
9128283H1,99-307,0-00+
9128283H1,99-003,0-00+
9128283H1,100-170,0-002
9128283H1,99-186,0-003
9128283H1,100-193,0-003
9128283H1,100-245,0-00+
9128283H1,100-146,0-002
9128283H1,99-030,0-003
9128283H1,100-261,0-00+
9128283H1,100-187,0-00+
9128283H1,99-26+,0-002
9128283H1,99-107,0-003
9128283H1,99-196,0-00+
9128283H1,100-285,0-003
9128283H1,99-256,0-002
9128283H1,100-062,0-002
9128283H1,100-13+,0-003
9128283H1,100-27+,0-00+
9128283H1,99-082,0-00+
9128283H1,100-163,0-00+
9128283H1,99-252,0-003
9128283H1,99-287,0-003
9128283H1,99-06+,0-002
9128283H1,100-047,0-002
9128283H1,99-226,0-00+
9128283H1,99-02+,0-00+
9128283H1,99-055,0-00+
9128283H1,100-296,0-002
9128283H1,100-05+,0-00+
9128283H1,99-107,0-003
9128283H1,99-173,0-00+
9128283H1,100-182,0-00+
9128283H1,99-093,0-003
9128283H1,99-221,0-00+
9128283H1,99-210,0-00+
9128283H1,99-10+,0-003
9128283H1,99-04+,0-003
9128283H1,99-116,0-003
9128283H1,99-24+,0-00+
9128283H1,99-057,0-00+
9128283H1,99-262,0-00+
9128283H1,99-10+,0-00+
9128283H1,100-162,0-003
9128283H1,99-247,0-002
9128283H1,99-317,0-002
9128283H1,100-196,0-003
9128283H1,99-013,0-003
9128283H1,100-220,0-003
9128283H1,99-16+,0-002
9128283H1,100-127,0-002
9128283H1,99-146,0-00+
9128283H1,100-230,0-00+
9128283H1,100-265,0-003
9128283H1,99-237,0-00+
9128283H1,100-056,0-00+
9128283H1,100-183,0-003
9128283H1,99-08+,0-00+
9128283H1,99-226,0-002
9128283H1,100-24+,0-00+
9128283H1,99-302,0-003
9128283H1,100-012,0-003
9128283H1,99-123,0-002
9128283H1,99-010,0-00+
9128283H1,100-016,0-002
9128283H1,100-257,0-003
9128283H1,99-047,0-003
9128283H1,100-111,0-003
9128283H1,99-156,0-00+
9128283H1,100-220,0-002
9128283H1,99-14+,0-00+
9128283H1,99-205,0-00+
9128283H1,99-121,0-00+
9128283H1,99-116,0-003
9128283H1,100-223,0-00+
9128283H1,100-055,0-003
9128283H1,99-110,0-00+
9128283H1,100-043,0-003
9128283H1,99-125,0-00+
9128283H1,99-083,0-00+
9128283H1,99-201,0-002
9128283H1,99-285,0-00+
9128283H1,100-316,0-003
9128283H1,100-285,0-00+
9128283H1,100-223,0-00+
9128283H1,100-021,0-00+
9128283H1,100-256,0-00+
9128283H1,100-21+,0-003
9128283H1,100-212,0-00+
9128283H1,99-11+,0-002
9128283H1,99-117,0-002
9128283H1,100-131,0-002
9128283H1,99-206,0-002
9128283H1,99-251,0-002
9128283H1,99-247,0-002
9128283H1,100-282,0-003
9128283H1,100-285,0-002
9128283H1,100-183,0-003
9128283H1,100-18+,0-003
9128283H1,100-272,0-00+
9128283H1,100-277,0-00+
9128283H1,100-123,0-002
9128283H1,100-175,0-003
9128283H1,100-047,0-002
9128283H1,99-146,0-00+
9128283H1,99-130,0-003
9128283H1,100-067,0-00+
9128283H1,100-213,0-00+
9128283H1,99-041,0-00+
9128283H1,99-215,0-003
9128283H1,99-271,0-00+
9128283H1,99-151,0-00+
9128283H1,99-246,0-00+
9128283H1,99-102,0-003
9128283H1,99-213,0-002
9128283H1,100-230,0-00+
9128283H1,100-160,0-00+
9128283H1,99-290,0-00+
9128283H1,99-091,0-003
9128283H1,100-28+,0-003
9128283H1,99-261,0-00+
9128283H1,99-301,0-00+
9128283H1,99-296,0-002
9128283H1,99-021,0-003
9128283H1,99-116,0-002
9128283H1,100-272,0-003
9128283H1,100-041,0-002
9128283H1,99-170,0-00+
9128283H1,99-232,0-003
9128283H1,100-223,0-002
9128283H1,99-005,0-00+
9128283H1,100-285,0-00+
9128283H1,99-170,0-003
9128283H1,99-083,0-003
9128283H1,100-055,0-002
9128283H1,100-08+,0-003
9128283H1,100-021,0-00+
9128283H1,100-210,0-002
9128283H1,99-02+,0-003
9128283H1,99-252,0-00+
9128283H1,100-053,0-003
9128283H1,99-150,0-002
9128283H1,100-316,0-002
9128283H1,99-091,0-00+
9128283H1,99-176,0-003
9128283H1,99-062,0-002
9128283H1,100-190,0-003
9128283H1,99-042,0-00+
9128283H1,99-271,0-00+
9128283H1,100-291,0-003
9128283H1,99-103,0-003
9128283H1,99-042,0-00+
9128283H1,99-091,0-002
9128283H1,100-21+,0-002
9128283H1,99-22+,0-00+
9128283H1,99-125,0-002
9128283H1,99-203,0-002
9128283H1,99-291,0-003
9128283H1,100-167,0-003
9128283H1,100-216,0-002
9128283H1,99-220,0-00+
9128283H1,99-040,0-003
9128283H1,99-260,0-003
9128283H1,100-180,0-00+
9128283H1,99-090,0-003
9128283H1,100-27+,0-003
9128283H1,100-241,0-002
9128283H1,99-122,0-002
9128283H1,100-041,0-00+
9128283H1,99-183,0-00+
9128283H1,99-093,0-002
9128283H1,100-01+,0-00+
9128283H1,100-313,0-00+
9128283H1,99-081,0-002
9128283H1,99-165,0-002
9128283H1,100-20+,0-003
9128283H1,100-000,0-00+
9128283H1,100-265,0-002
9128283H1,99-032,0-00+
9128283H1,100-162,0-00+
9128283H1,100-157,0-003
9128283H1,99-100,0-003
9128283H1,99-071,0-002
9128283H1,99-17+,0-002
9128283H1,99-113,0-003
9128283H1,100-001,0-003
9128283H1,99-207,0-003
9128283H1,99-090,0-00+
9128283H1,100-302,0-002
9128283H1,99-15+,0-003
9128283H1,99-30+,0-00+
9128283H1,99-162,0-002
9128283H1,100-262,0-003
9128283H1,99-082,0-00+
9128283H1,99-237,0-00+
9128283H1,99-295,0-00+
9128283H1,100-090,0-003
9128283H1,100-063,0-003
9128283H1,100-252,0-002
9128283H1,100-13+,0-003
9128283H1,100-222,0-003
9128283H1,99-156,0-00+
9128283H1,100-063,0-003
9128283H1,100-05+,0-00+
9128283H1,99-107,0-00+
9128283H1,99-28+,0-003
9128283H1,100-272,0-003
9128283H1,100-075,0-003
9128283H1,99-182,0-003
9128283H1,99-292,0-002
9128283H1,100-103,0-00+
9128283H1,99-063,0-003
9128283H1,99-006,0-00+
9128283H1,100-182,0-003
9128283H1,99-265,0-00+
9128283H1,99-13+,0-002
9128283H1,99-165,0-002
9128283H1,100-190,0-002
9128283H1,99-235,0-00+
9128283H1,99-22+,0-002
9128283H1,99-316,0-002
9128283H1,100-126,0-002
9128283H1,99-16+,0-003
9128283H1,100-035,0-002
9128283H1,100-16+,0-002
9128283H1,100-275,0-002
9128283H1,100-133,0-003
9128283H1,99-04+,0-00+
9128283H1,99-253,0-003
9128283H1,100-23+,0-003
9128283H1,100-213,0-002
9128283H1,100-190,0-002
9128283H1,99-16+,0-002
9128283H1,99-020,0-002
9128283H1,100-167,0-00+
9128283H1,99-146,0-003
9128283H1,99-147,0-00+
9128283H1,100-171,0-003
9128283H1,99-055,0-003
9128283H1,100-21+,0-003
9128283H1,100-25+,0-003
9128283H1,99-092,0-003
9128283H1,100-28+,0-002
9128283H1,99-016,0-003
9128283H1,100-176,0-002
9128283H1,99-202,0-00+
9128283H1,100-20+,0-003
9128283H1,99-273,0-00+
9128283H1,100-245,0-003
9128283H1,100-271,0-002
9128283H1,100-02+,0-00+
9128283H1,100-121,0-002
9128283H1,99-241,0-002
9128283H1,100-033,0-00+
9128283H1,100-28+,0-00+
9128283H1,100-001,0-00+
9128283H1,100-033,0-00+
9128283H1,99-197,0-003
9128283H1,100-217,0-002
9128283H1,99-123,0-002
9128283H1,99-263,0-002
9128283H1,99-146,0-003
9128283H1,99-076,0-002
9128283H1,100-187,0-003
9128283H1,100-111,0-003
9128283H1,99-275,0-003
9128283H1,100-167,0-002
9128283H1,99-317,0-002
9128283H1,100-261,0-002
9128283H1,99-280,0-002
9128283H1,99-070,0-00+
9128283H1,99-137,0-003
9128283H1,99-221,0-003
9128283H1,100-292,0-003
9128283H1,99-16+,0-00+
9128283H1,100-087,0-00+
9128283H1,99-217,0-002
9128283H1,100-082,0-00+
9128283H1,100-08+,0-002
9128283H1,99-233,0-00+
9128283H1,99-140,0-002
9128283H1,100-172,0-00+
9128283H1,100-077,0-003
9128283H1,99-050,0-00+
9128283H1,99-093,0-00+
9128283H1,99-125,0-003
9128283H1,99-040,0-003
9128283H1,100-176,0-002
9128283H1,99-203,0-002
9128283H1,100-045,0-002
9128283H1,100-097,0-00+
9128283H1,99-100,0-00+
9128283H1,100-142,0-003
9128283H1,99-272,0-003
9128283H1,100-27+,0-00+
9128283H1,99-042,0-002
9128283H1,100-310,0-002
9128283H1,100-132,0-00+
9128283H1,100-037,0-00+
9128283H1,99-156,0-003
9128283H1,100-043,0-002
9128283H1,99-033,0-003
9128283H1,100-080,0-003
9128283H1,99-246,0-003
9128283H1,100-315,0-00+
9128283H1,100-111,0-00+
9128283H1,100-117,0-003
9128283H1,99-287,0-00+
9128283H1,100-000,0-00+
9128283H1,99-170,0-00+
9128283H1,99-14+,0-002
9128283H1,99-287,0-003
9128283H1,99-107,0-002
9128283H1,100-001,0-00+
