ProductId,Mid,Spread
9128283H1,99-216,00-3
9128283H1,99-202,00-3
9128283H1,99-232,00-2
9128283H1,100-01+,00-+
9128283H1,100-000,00-+
9128283H1,99-302,00-3
9128283H1,99-287,00-2
9128283H1,99-080,00-+
9128283H1,99-135,00-2
9128283H1,100-085,00-2
9128283H1,100-262,00-2
9128283H1,99-146,00-2
9128283H1,99-055,00-+
9128283H1,100-30+,00-+
9128283H1,99-105,00-2
9128283H1,100-28+,00-3
9128283H1,99-036,00-3
9128283H1,100-167,00-+
9128283H1,99-106,00-+
9128283H1,100-17+,00-+
9128283H1,99-050,00-+
9128283H1,100-186,00-3
9128283H1,100-046,00-3
9128283H1,100-30+,00-3
9128283H1,99-290,00-3
9128283H1,99-205,00-2
9128283H1,100-170,00-+
9128283H1,99-145,00-2
9128283H1,100-20+,00-+
9128283H1,100-175,00-+
9128283H1,100-017,00-+
9128283H1,99-002,00-3
9128283H1,100-100,00-3
9128283H1,100-221,00-+
9128283H1,100-107,00-+
9128283H1,100-106,00-2
9128283H1,99-233,00-2
9128283H1,100-075,00-2
9128283H1,100-097,00-2
9128283H1,99-260,00-+
9128283H1,99-203,00-2
9128283H1,99-070,00-+
9128283H1,100-185,00-+
9128283H1,100-092,00-2
9128283H1,100-306,00-2
9128283H1,99-063,00-3
9128283H1,100-165,00-+
9128283H1,100-207,00-3
9128283H1,99-27+,00-2
9128283H1,100-257,00-2
9128283H1,100-070,00-3
9128283H1,99-047,00-2
9128283H1,100-25+,00-2
9128283H1,100-131,00-2
9128283H1,99-163,00-3
9128283H1,99-051,00-2
9128283H1,99-226,00-3
9128283H1,99-02+,00-2
9128283H1,99-072,00-3
9128283H1,99-136,00-+
9128283H1,99-192,00-+
9128283H1,100-141,00-3
9128283H1,100-272,00-+
9128283H1,99-310,00-+
9128283H1,99-022,00-2
9128283H1,99-075,00-3
9128283H1,99-253,00-3
9128283H1,99-265,00-2
9128283H1,100-013,00-3
9128283H1,99-256,00-+
9128283H1,99-205,00-+
9128283H1,100-222,00-+
9128283H1,100-066,00-3
9128283H1,100-00+,00-+
9128283H1,100-125,00-+
9128283H1,100-003,00-3
9128283H1,99-270,00-3
9128283H1,99-311,00-2
9128283H1,100-200,00-2
9128283H1,100-09+,00-2
9128283H1,99-020,00-2
9128283H1,99-296,00-2
9128283H1,100-027,00-+
9128283H1,99-225,00-3
9128283H1,99-075,00-2
9128283H1,99-085,00-2
9128283H1,100-056,00-3
9128283H1,100-255,00-+
9128283H1,100-302,00-+
9128283H1,99-313,00-3
9128283H1,99-272,00-2
9128283H1,99-087,00-+
9128283H1,99-085,00-2
9128283H1,99-101,00-3
9128283H1,99-13+,00-2
9128283H1,99-026,00-3
9128283H1,100-291,00-3
9128283H1,100-021,00-+
9128283H1,100-175,00-3
9128283H1,99-192,00-3
9128283H1,99-277,00-+
9128283H1,99-311,00-+
9128283H1,99-297,00-+
9128283H1,100-105,00-3
9128283H1,99-067,00-2
9128283H1,99-183,00-2
9128283H1,100-165,00-3
9128283H1,99-085,00-+
9128283H1,100-19+,00-2
9128283H1,100-17+,00-3
9128283H1,99-232,00-+
9128283H1,100-055,00-+
9128283H1,100-17+,00-3
9128283H1,99-132,00-3
9128283H1,100-036,00-+
9128283H1,99-131,00-2
9128283H1,100-042,00-2
9128283H1,99-10+,00-3
9128283H1,100-082,00-3
9128283H1,99-067,00-3
9128283H1,100-045,00-+
9128283H1,99-110,00-2
9128283H1,100-082,00-3
9128283H1,100-123,00-+
9128283H1,99-297,00-+
9128283H1,99-096,00-3
9128283H1,99-246,00-3
9128283H1,100-162,00-3
9128283H1,100-032,00-3
9128283H1,99-023,00-2
9128283H1,100-282,00-+
9128283H1,99-052,00-+
9128283H1,100-001,00-2
9128283H1,100-037,00-2
9128283H1,100-035,00-3
9128283H1,100-061,00-2
9128283H1,99-115,00-2
9128283H1,99-061,00-2
9128283H1,99-253,00-2
9128283H1,99-193,00-3
9128283H1,100-071,00-+
9128283H1,99-193,00-3
9128283H1,100-007,00-3
9128283H1,100-187,00-+
9128283H1,100-081,00-2
9128283H1,99-003,00-3
9128283H1,100-186,00-2
9128283H1,100-303,00-3
9128283H1,99-021,00-2
9128283H1,99-163,00-+
9128283H1,99-061,00-2
9128283H1,99-012,00-2
9128283H1,99-303,00-+
9128283H1,99-000,00-+
9128283H1,100-311,00-3
9128283H1,100-196,00-2
9128283H1,100-255,00-+
9128283H1,99-300,00-3
9128283H1,99-131,00-2
9128283H1,99-29+,00-+
9128283H1,99-097,00-2
9128283H1,99-032,00-3
9128283H1,99-311,00-2
9128283H1,100-091,00-2
9128283H1,100-121,00-2
9128283H1,100-250,00-+
9128283H1,99-177,00-2
9128283H1,99-047,00-3
9128283H1,100-226,00-2
9128283H1,100-075,00-+
9128283H1,100-220,00-3
9128283H1,99-276,00-2
9128283H1,100-15+,00-+
9128283H1,99-09+,00-3
9128283H1,99-003,00-+
9128283H1,99-297,00-3
9128283H1,100-275,00-2
9128283H1,100-212,00-2
9128283H1,100-213,00-2
9128283H1,100-235,00-3
9128283H1,99-02+,00-+
9128283H1,100-102,00-2
9128283H1,100-14+,00-3
9128283H1,100-04+,00-3
9128283H1,100-28+,00-+
9128283H1,100-007,00-+
9128283H1,100-176,00-+
9128283H1,99-045,00-3
9128283H1,99-037,00-2
9128283H1,99-085,00-2
9128283H1,99-196,00-+
9128283H1,99-126,00-2
9128283H1,99-080,00-3
9128283H1,100-257,00-3
9128283H1,99-086,00-3
9128283H1,100-201,00-+
9128283H1,99-25+,00-2
9128283H1,100-071,00-+
9128283H1,99-162,00-+
9128283H1,99-246,00-2
9128283H1,100-225,00-3
9128283H1,100-235,00-+
9128283H1,99-201,00-3
9128283H1,99-041,00-2
9128283H1,100-015,00-+
9128283H1,100-007,00-3
9128283H1,99-150,00-2
9128283H1,100-143,00-3
9128283H1,99-105,00-+
9128283H1,100-106,00-+
9128283H1,99-113,00-3
9128283H1,99-072,00-2
9128283H1,100-147,00-2
9128283H1,99-10+,00-2
9128283H1,99-253,00-3
9128283H1,99-255,00-+
9128283H1,100-12+,00-3
9128283H1,100-070,00-2
9128283H1,100-052,00-3
9128283H1,99-076,00-3
9128283H1,99-267,00-+
9128283H1,100-247,00-2
9128283H1,99-307,00-+
9128283H1,100-302,00-2
9128283H1,100-015,00-2
9128283H1,100-130,00-+
9128283H1,99-300,00-+
9128283H1,100-236,00-3
9128283H1,99-107,00-2
9128283H1,100-21+,00-3
9128283H1,99-056,00-2
9128283H1,99-151,00-3
9128283H1,99-245,00-2
9128283H1,100-213,00-3
9128283H1,99-313,00-+
9128283H1,100-120,00-2
9128283H1,99-185,00-2
9128283H1,99-13+,00-2
9128283H1,100-177,00-2
9128283H1,100-20+,00-+
9128283H1,100-065,00-+
9128283H1,99-185,00-+
9128283H1,99-162,00-3
9128283H1,99-25+,00-2
9128283H1,100-177,00-2
9128283H1,99-313,00-3
9128283H1,99-251,00-2
9128283H1,100-230,00-2
9128283H1,100-012,00-2
9128283H1,99-282,00-+
9128283H1,100-243,00-3
9128283H1,100-120,00-+
9128283H1,100-081,00-+
9128283H1,99-20+,00-+
9128283H1,99-13+,00-3
9128283H1,99-035,00-3
9128283H1,100-317,00-2
9128283H1,100-196,00-3
9128283H1,99-172,00-3
9128283H1,100-103,00-3
9128283H1,100-005,00-+
9128283H1,99-053,00-3
9128283H1,100-100,00-+
9128283H1,99-31+,00-2
9128283H1,99-111,00-2
9128283H1,100-097,00-2
9128283H1,100-036,00-3
9128283H1,100-155,00-+
9128283H1,100-027,00-2
9128283H1,100-03+,00-2
9128283H1,99-216,00-2
9128283H1,99-141,00-3
9128283H1,99-235,00-+
9128283H1,99-09+,00-2
9128283H1,100-192,00-3
9128283H1,99-037,00-3
9128283H1,99-11+,00-+
9128283H1,100-145,00-+
9128283H1,100-16+,00-+
9128283H1,100-145,00-+
9128283H1,100-231,00-3
9128283H1,100-101,00-3
9128283H1,100-15+,00-3
9128283H1,99-070,00-3
9128283H1,100-283,00-3
9128283H1,99-262,00-2
9128283H1,99-283,00-3
9128283H1,99-117,00-+
9128283H1,99-082,00-2
9128283H1,99-130,00-2
9128283H1,99-153,00-3
9128283H1,99-110,00-2
9128283H1,100-246,00-2
9128283H1,100-207,00-+
9128283H1,100-276,00-+
9128283H1,99-133,00-2
9128283H1,99-272,00-+
9128283H1,100-26+,00-+
9128283H1,100-165,00-+
9128283H1,100-265,00-2
9128283H1,99-253,00-3
9128283H1,100-117,00-+
9128283H1,100-255,00-2
9128283H1,100-286,00-+
9128283H1,100-262,00-+
9128283H1,100-290,00-3
9128283H1,100-14+,00-2
9128283H1,99-093,00-2
9128283H1,99-256,00-2
9128283H1,100-11+,00-+
9128283H1,99-075,00-3
9128283H1,100-160,00-3
9128283H1,100-173,00-+
9128283H1,100-17+,00-+
9128283H1,100-133,00-2
9128283H1,99-025,00-+
9128283H1,100-192,00-+
9128283H1,100-173,00-2
9128283H1,100-012,00-2
9128283H1,99-166,00-+
9128283H1,99-305,00-3
9128283H1,99-010,00-2
9128283H1,99-121,00-2
9128283H1,99-033,00-+
9128283H1,100-081,00-+
9128283H1,99-231,00-+
9128283H1,99-210,00-3
9128283H1,100-126,00-3
9128283H1,100-052,00-+
9128283H1,100-293,00-+
9128283H1,99-021,00-3
9128283H1,100-210,00-+
9128283H1,100-151,00-+
9128283H1,99-313,00-2
9128283H1,99-276,00-2
9128283H1,100-082,00-+
9128283H1,100-050,00-2
9128283H1,99-071,00-2
9128283H1,99-072,00-3
9128283H1,100-19+,00-+
9128283H1,99-31+,00-2
9128283H1,100-141,00-3
9128283H1,100-125,00-+
9128283H1,100-230,00-+
9128283H1,100-277,00-3
9128283H1,100-215,00-2
9128283H1,100-063,00-3
9128283H1,100-110,00-3
9128283H1,100-170,00-+
9128283H1,99-110,00-3
9128283H1,100-176,00-3
9128283H1,99-302,00-2
9128283H1,99-237,00-2
9128283H1,100-085,00-+
9128283H1,100-310,00-+
9128283H1,100-246,00-+
9128283H1,99-20+,00-+
