CUSIP,BidPrice,BidVisibleQuantity,BidHiddenQuantity,OfferPrice,OfferVisibleQuantity,OfferHiddenQuantity
9128283H1,99.9512,1000000,2000000,99.9629,1000000,2000000
9128283H1,100.525,2000000,4000000,100.537,2000000,4000000
9128283H1,99.9805,1000000,2000000,99.9883,1000000,2000000
9128283H1,99.8418,2000000,4000000,99.8535,2000000,4000000
9128283H1,99.3789,1000000,2000000,99.3945,1000000,2000000
9128283H1,100.119,2000000,4000000,100.131,2000000,4000000
9128283H1,99.4766,1000000,2000000,99.4922,1000000,2000000
9128283H1,99.0137,2000000,4000000,99.0254,2000000,4000000
9128283H1,100.164,1000000,2000000,100.172,1000000,2000000
9128283H1,100.623,2000000,4000000,100.635,2000000,4000000
9128283H1,100.016,1000000,2000000,100.023,1000000,2000000
9128283H1,99.3848,2000000,4000000,99.3965,2000000,4000000
9128283H1,99.5352,1000000,2000000,99.543,1000000,2000000
9128283H1,99.9883,2000000,4000000,99.9961,2000000,4000000
9128283H1,100.457,1000000,2000000,100.465,1000000,2000000
9128283H1,99.8047,2000000,4000000,99.8125,2000000,4000000
9128283H1,99.0938,1000000,2000000,99.1094,1000000,2000000
9128283H1,99.8691,2000000,4000000,99.8809,2000000,4000000
9128283H1,100.279,1000000,2000000,100.291,1000000,2000000
9128283H1,99.3672,2000000,4000000,99.375,2000000,4000000
9128283H1,99.668,1000000,2000000,99.6758,1000000,2000000
9128283H1,100.008,2000000,4000000,100.023,2000000,4000000
9128283H1,99.6465,1000000,2000000,99.6582,1000000,2000000
9128283H1,100.5,2000000,4000000,100.508,2000000,4000000
9128283H1,100.305,1000000,2000000,100.32,1000000,2000000
9128283H1,99.4297,2000000,4000000,99.4453,2000000,4000000
9128283H1,99.5508,1000000,2000000,99.5664,1000000,2000000
9128283H1,99.6914,2000000,4000000,99.707,2000000,4000000
9128283H1,100.434,1000000,2000000,100.449,1000000,2000000
9128283H1,100.592,2000000,4000000,100.604,2000000,4000000
9128283H1,100.189,1000000,2000000,100.201,1000000,2000000
9128283H1,99.668,2000000,4000000,99.6758,2000000,4000000
9128283H1,100.373,1000000,2000000,100.385,1000000,2000000
9128283H1,100.855,2000000,4000000,100.863,2000000,4000000
9128283H1,100.236,1000000,2000000,100.248,1000000,2000000
9128283H1,100.027,2000000,4000000,100.043,2000000,4000000
9128283H1,100.305,1000000,2000000,100.312,1000000,2000000
9128283H1,99.0234,2000000,4000000,99.0312,2000000,4000000
9128283H1,99.3965,1000000,2000000,99.4082,1000000,2000000
9128283H1,99.4805,2000000,4000000,99.4883,2000000,4000000
9128283H1,99.6016,1000000,2000000,99.6172,1000000,2000000
9128283H1,99.3359,2000000,4000000,99.3438,2000000,4000000
9128283H1,100.916,1000000,2000000,100.928,1000000,2000000
9128283H1,100.254,2000000,4000000,100.27,2000000,4000000
9128283H1,100.008,1000000,2000000,100.023,1000000,2000000
9128283H1,99.9082,2000000,4000000,99.9199,2000000,4000000
9128283H1,99.2754,1000000,2000000,99.2871,1000000,2000000
9128283H1,99.4258,2000000,4000000,99.4414,2000000,4000000
9128283H1,99.7109,1000000,2000000,99.7266,1000000,2000000
9128283H1,100.422,2000000,4000000,100.43,2000000,4000000
9128283H1,99.8516,1000000,2000000,99.8594,1000000,2000000
9128283H1,100.893,2000000,4000000,100.904,2000000,4000000
9128283H1,99.2051,1000000,2000000,99.2168,1000000,2000000
9128283H1,99.3945,2000000,4000000,99.4023,2000000,4000000
9128283H1,99.0898,1000000,2000000,99.0977,1000000,2000000
9128283H1,99.8281,2000000,4000000,99.8438,2000000,4000000
9128283H1,99.7559,1000000,2000000,99.7676,1000000,2000000
9128283H1,99.7988,2000000,4000000,99.8105,2000000,4000000
9128283H1,99.582,1000000,2000000,99.5977,1000000,2000000
9128283H1,100.898,2000000,4000000,100.914,2000000,4000000
9128283H1,99.4355,1000000,2000000,99.4473,1000000,2000000
9128283H1,99.457,2000000,4000000,99.4727,2000000,4000000
9128283H1,100.574,1000000,2000000,100.59,1000000,2000000
9128283H1,99.502,2000000,4000000,99.5137,2000000,4000000
9128283H1,99.2344,1000000,2000000,99.25,1000000,2000000
9128283H1,99.0391,2000000,4000000,99.0469,2000000,4000000
9128283H1,99.6934,1000000,2000000,99.7051,1000000,2000000
9128283H1,100.604,2000000,4000000,100.615,2000000,4000000
9128283H1,99.0742,1000000,2000000,99.082,1000000,2000000
9128283H1,99.4297,2000000,4000000,99.4375,2000000,4000000
9128283H1,99.5625,1000000,2000000,99.5781,1000000,2000000
9128283H1,99.7617,2000000,4000000,99.7695,2000000,4000000
9128283H1,99.8164,1000000,2000000,99.8242,1000000,2000000
9128283H1,99.1172,2000000,4000000,99.125,2000000,4000000
9128283H1,99.4375,1000000,2000000,99.4531,1000000,2000000
9128283H1,99.6406,2000000,4000000,99.6484,2000000,4000000
9128283H1,99.6465,1000000,2000000,99.6582,1000000,2000000
9128283H1,99.8555,2000000,4000000,99.8633,2000000,4000000
9128283H1,99.7617,1000000,2000000,99.7773,1000000,2000000
9128283H1,100.648,2000000,4000000,100.656,2000000,4000000
9128283H1,99.3008,1000000,2000000,99.3086,1000000,2000000
9128283H1,99.0137,2000000,4000000,99.0254,2000000,4000000
9128283H1,100.84,1000000,2000000,100.855,1000000,2000000
9128283H1,99.9316,2000000,4000000,99.9434,2000000,4000000
9128283H1,99.9219,1000000,2000000,99.9375,1000000,2000000
9128283H1,100.598,2000000,4000000,100.613,2000000,4000000
9128283H1,100.342,1000000,2000000,100.354,1000000,2000000
9128283H1,100.104,2000000,4000000,100.115,2000000,4000000
9128283H1,100.781,1000000,2000000,100.797,1000000,2000000
9128283H1,100.49,2000000,4000000,100.502,2000000,4000000
9128283H1,99.2168,1000000,2000000,99.2285,1000000,2000000
9128283H1,99.4609,2000000,4000000,99.4688,2000000,4000000
9128283H1,100.941,1000000,2000000,100.949,1000000,2000000
9128283H1,100.057,2000000,4000000,100.068,2000000,4000000
9128283H1,99.8965,1000000,2000000,99.9082,1000000,2000000
9128283H1,100.914,2000000,4000000,100.93,2000000,4000000
9128283H1,99.5195,1000000,2000000,99.5273,1000000,2000000
9128283H1,99.0547,2000000,4000000,99.0703,2000000,4000000
9128283H1,99.8281,1000000,2000000,99.8359,1000000,2000000
9128283H1,99.4219,2000000,4000000,99.4297,2000000,4000000
9128283H1,100.174,1000000,2000000,100.186,1000000,2000000
9128283H1,100.082,2000000,4000000,100.098,2000000,4000000
9128283H1,99.252,1000000,2000000,99.2637,1000000,2000000
9128283H1,99.709,2000000,4000000,99.7207,2000000,4000000
9128283H1,99.3945,1000000,2000000,99.4102,1000000,2000000
9128283H1,100.414,2000000,4000000,100.422,2000000,4000000
9128283H1,100.523,1000000,2000000,100.539,1000000,2000000
9128283H1,99.4844,2000000,4000000,99.4922,2000000,4000000
9128283H1,100.834,1000000,2000000,100.846,1000000,2000000
9128283H1,99.8027,2000000,4000000,99.8145,2000000,4000000
9128283H1,99.2188,1000000,2000000,99.2266,1000000,2000000
9128283H1,99.8672,2000000,4000000,99.875,2000000,4000000
9128283H1,100.391,1000000,2000000,100.398,1000000,2000000
9128283H1,99.0879,2000000,4000000,99.0996,2000000,4000000
9128283H1,99.1406,1000000,2000000,99.1484,1000000,2000000
9128283H1,99.3848,2000000,4000000,99.3965,2000000,4000000
9128283H1,100.693,1000000,2000000,100.705,1000000,2000000
9128283H1,100.051,2000000,4000000,100.066,2000000,4000000
9128283H1,99.3047,1000000,2000000,99.3125,1000000,2000000
9128283H1,100.18,2000000,4000000,100.188,2000000,4000000
9128283H1,100.852,1000000,2000000,100.867,1000000,2000000
9128283H1,100.451,2000000,4000000,100.463,2000000,4000000
9128283H1,100.879,1000000,2000000,100.895,1000000,2000000
9128283H1,99.75,2000000,4000000,99.7656,2000000,4000000
9128283H1,100.461,1000000,2000000,100.469,1000000,2000000
9128283H1,99.0527,2000000,4000000,99.0645,2000000,4000000
9128283H1,99.043,1000000,2000000,99.0508,1000000,2000000
9128283H1,99.582,2000000,4000000,99.5977,2000000,4000000
9128283H1,100.74,1000000,2000000,100.752,1000000,2000000
9128283H1,100.18,2000000,4000000,100.195,2000000,4000000
9128283H1,99.8848,1000000,2000000,99.8965,1000000,2000000
9128283H1,100.605,2000000,4000000,100.613,2000000,4000000
9128283H1,99.1465,1000000,2000000,99.1582,1000000,2000000
9128283H1,99.4414,2000000,4000000,99.4492,2000000,4000000
9128283H1,99.3789,1000000,2000000,99.3867,1000000,2000000
9128283H1,100.703,2000000,4000000,100.719,2000000,4000000
9128283H1,99.334,1000000,2000000,99.3457,1000000,2000000
9128283H1,99.2969,2000000,4000000,99.3125,2000000,4000000
9128283H1,100.105,1000000,2000000,100.121,1000000,2000000
9128283H1,100.301,2000000,4000000,100.316,2000000,4000000
9128283H1,99.3926,1000000,2000000,99.4043,1000000,2000000
9128283H1,99.4453,2000000,4000000,99.4531,2000000,4000000
9128283H1,99.125,1000000,2000000,99.1328,1000000,2000000
9128283H1,100.668,2000000,4000000,100.676,2000000,4000000
9128283H1,100.471,1000000,2000000,100.482,1000000,2000000
9128283H1,99.5684,2000000,4000000,99.5801,2000000,4000000
9128283H1,99.4004,1000000,2000000,99.4121,1000000,2000000
9128283H1,99.7051,2000000,4000000,99.7168,2000000,4000000
9128283H1,99.6133,1000000,2000000,99.6211,1000000,2000000
9128283H1,99.9961,2000000,4000000,100.004,2000000,4000000
9128283H1,99.0156,1000000,2000000,99.0312,1000000,2000000
9128283H1,100.426,2000000,4000000,100.434,2000000,4000000
9128283H1,99.1055,1000000,2000000,99.1133,1000000,2000000
9128283H1,99.9023,2000000,4000000,99.918,2000000,4000000
9128283H1,100.344,1000000,2000000,100.352,1000000,2000000
9128283H1,99.7852,2000000,4000000,99.8008,2000000,4000000
9128283H1,99.8906,1000000,2000000,99.8984,1000000,2000000
9128283H1,99.4883,2000000,4000000,99.5039,2000000,4000000
9128283H1,100.639,1000000,2000000,100.65,1000000,2000000
9128283H1,100.625,2000000,4000000,100.641,2000000,4000000
9128283H1,100.68,1000000,2000000,100.695,1000000,2000000
9128283H1,99.5,2000000,4000000,99.5156,2000000,4000000
9128283H1,100.984,1000000,2000000,101,1000000,2000000
9128283H1,99.7305,2000000,4000000,99.7383,2000000,4000000
9128283H1,100.096,1000000,2000000,100.107,1000000,2000000
9128283H1,100.617,2000000,4000000,100.625,2000000,4000000
9128283H1,99.4375,1000000,2000000,99.4453,1000000,2000000
9128283H1,98.9961,2000000,4000000,99.0039,2000000,4000000
9128283H1,100.531,1000000,2000000,100.547,1000000,2000000
9128283H1,100.941,2000000,4000000,100.957,2000000,4000000
9128283H1,100.57,1000000,2000000,100.586,1000000,2000000
9128283H1,99.0039,2000000,4000000,99.0195,2000000,4000000
9128283H1,99.6855,1000000,2000000,99.6973,1000000,2000000
9128283H1,99.7539,2000000,4000000,99.7695,2000000,4000000
9128283H1,99.8301,1000000,2000000,99.8418,1000000,2000000
9128283H1,100.691,2000000,4000000,100.707,2000000,4000000
9128283H1,99.8652,1000000,2000000,99.877,1000000,2000000
9128283H1,100.795,2000000,4000000,100.807,2000000,4000000
9128283H1,100.918,1000000,2000000,100.926,1000000,2000000
9128283H1,100.9,2000000,4000000,100.912,2000000,4000000
